traceID,frontend,geo,profile,rate,reservation,search
0037947a3901945e,99216.0,110.0,23.0,14.0,19.0,784.0
00bc51ab120e5094,86564.0,107.0,23.0,524347.0,698916.0,76319.0
01c18b9db39f471a,1947.0,82.0,18.0,2804.0,886519.0,2079.0
01c1c12bdc738eab,1120.0,65.0,18.0,18.0,24.0,700.0
0287ff1882053462,293100.0,94.0,26.0,9.0,8.0,641.0
0292e289498ee562,92123.0,42.0,6.0,11949.0,907712.0,3051.0
056b4976417cf352,98650.0,97.0,6.0,196.0,28.0,1071.0
0676f67a31f8febe,88803.0,139.0,28.0,17.0,9.0,6277.0
0810c779b0a0af64,90065.0,37.0,26.0,204024.0,601117.0,101956.0
0852da1599ab94c3,1383.0,79.0,18.0,67.0,44.0,3277.0
08a4fbaa7cf32f15,4213.0,68.0,20.0,24.0,64.0,870.0
08b0cb7d0c1edce9,67080.0,139.0,29.0,5.0,92.0,29222.0
08ee219b98f7e4ff,83341.0,37.0,,7674.0,2861921.0,1377.0
098dc55d0fd3751a,52143.0,95.0,28.0,34.0,8.0,843.0
0b4e280058a42592,137383.0,52.0,20.0,2314.0,2356860.0,7053.0
0bad08834f693d97,55395.0,88.0,28.0,35.0,21.0,970.0
0bbcde3c90bd0aac,634938.0,163.0,23.0,59.0,12.0,1747.0
0c57d70f4fc256bc,135433.0,103.0,16.0,28.0,5499.0,1204.0
0d001b9c31e7b78e,229253.0,226.0,22.0,80.0,20.0,2151.0
0d0465a0d758c9a2,194028.0,,,14.0,18.0,
0dc43f0b78df71a5,89428.0,28.0,26.0,298698.0,62668.0,11515.0
0ea6b9815aa71320,392559.0,84.0,56.0,31.0,119.0,977.0
0f72e4813e7b0e28,61577.0,54.0,27.0,4110.0,116111.0,16560.0
0f9288788360f4e3,99457.0,,21.0,14.0,9.0,699.0
1055e56e20338b62,156821.0,58.0,7.0,39817.0,1093057.0,1644.0
1144e6d2ee30cbe3,31023.0,54.0,,1396.0,704311.0,1075.0
129b97b5b57ad038,97680.0,85.0,17.0,31.0,29.0,718.0
14fb0ae3a0ea7846,154252.0,29.0,20.0,7261.0,1295121.0,23110.0
1602e76a07639f94,8555.0,167.0,18.0,23.0,360.0,3897.0
16ac8a08aaea591d,94793.0,99.0,16.0,23.0,110.0,767.0
1737a5a0a45e8f2f,296000.0,46.0,14.0,3321.0,432763.0,2088.0
19d2d5d7e59e3f3e,1666.0,121.0,25.0,11.0,23.0,776.0
1a13c23c73a6fd13,91129.0,138.0,21.0,13.0,79.0,708.0
1aa2480073ddbedf,104174.0,55.0,19.0,1577.0,392645.0,1223.0
1ad801033eddbc26,2828.0,134.0,36.0,47.0,34.0,2192.0
1b0fc92b11d723bd,195146.0,83.0,23.0,20.0,26.0,703.0
1bc44735ecc99349,6869.0,185.0,28.0,15.0,50.0,933.0
1cd8b7a011937485,99654.0,45.0,,1919.0,1595272.0,1312.0
1d044d0ed18195bd,4836.0,197.0,19.0,20.0,21.0,106810.0
1e56f21ccf788275,97396.0,92.0,36.0,23.0,6.0,948.0
1e87ea627fc2252f,87081.0,93.0,34.0,46.0,8.0,1211.0
1f0834eba0e3600a,3370.0,161.0,21.0,24.0,14.0,1119.0
1f65a25dd337c6ec,194268.0,69.0,37.0,198780.0,1696554.0,86887.0
205ecf7694165254,53460.0,33.0,25.0,3008.0,738760.0,1264.0
2061eb403ca799bd,3894.0,270.0,17.0,486.0,56.0,93505.0
20696d5ceec03af4,81271.0,44.0,15.0,1687.0,1601808.0,1393.0
21347ed205e094e5,3412.0,145.0,25.0,17.0,21.0,647.0
23a83e41a1fe2fc2,117649.0,75.0,25.0,18.0,78.0,582.0
250a450ee2866a01,100242.0,164.0,11.0,21.0,17.0,889.0
2586a30e9d6ec186,94717.0,168.0,14.0,23.0,23.0,814.0
